,trend_following,mean_reversion,dual_momentum,breakout
2018-01-10,0.2957298258855759,0.3149173555699219,0.2557628206833224,0.13358999786117984
2018-01-11,0.2970075288413771,0.3118175245977082,0.2534861430734426,0.13768880348747195
2018-01-12,0.29494083383132297,0.3123054607649272,0.2542361309951294,0.13851757440862048
2018-01-16,0.29150935391982113,0.31362519601164307,0.2586497488761606,0.13621570119237525
2018-01-17,0.2904677886006105,0.31449795971785094,0.25909399743115447,0.13594025425038403
2018-01-18,0.28641758915108234,0.3205131427391452,0.2568219303509418,0.1362473377588307
2018-01-19,0.2869175798793528,0.3203130528442734,0.2562868045858657,0.136482562690508
2018-01-22,0.28327634485971215,0.3236662374188874,0.2572904398622747,0.13576697785912575
2018-01-23,0.2812022828855695,0.325236976435034,0.2579215758069634,0.13563916487243305
2018-01-24,0.2818366643183668,0.32514419334473316,0.25880661618914574,0.13421252614775434
2018-01-25,0.2831954323270061,0.3269725866970983,0.25688513846857663,0.132946842507319
2018-01-26,0.2825740443662323,0.328017617885729,0.25703823757882605,0.13237010016921266
2018-01-29,0.2773581010082093,0.3335039036768476,0.25680650596163185,0.13233148935331132
2018-01-30,0.27322231423395227,0.33878804689798037,0.25572433117008386,0.13226530769798348
2018-01-31,0.2683581597117116,0.3449403138104853,0.25516884704702736,0.13153267943077573
2018-02-01,0.2697644927923817,0.3424516432922488,0.25570841736674665,0.1320754465486228
2018-02-02,0.2712975784100881,0.3404440905954496,0.25556909250227905,0.13268923849218311
2018-02-05,0.2858154788224769,0.3033978257120299,0.26506236342573325,0.14572433203975999
2018-02-06,0.3502413610227891,0.20127855734525418,0.27143085661977345,0.17704922501218337
2018-02-07,0.3610133917092514,0.19204963323115623,0.2639903330704535,0.18294664198913885
2018-02-08,0.36631467277683627,0.1887749255205133,0.2590418987752983,0.18586850292735208
2018-02-09,0.3848893682750334,0.17234698371136453,0.24766956305719184,0.19509408495641023
2018-02-12,0.3842180593737548,0.17141862455620555,0.24727138850587083,0.1970919275641688
2018-02-13,0.3852489715327928,0.16875574348820824,0.24833471995795736,0.1976605650210417
2018-02-14,0.3853803526189092,0.1684577757837028,0.24818321052963233,0.19797866106775575
2018-02-15,0.3865974643812769,0.16878416899669998,0.24598621261615944,0.19863215400586376
2018-02-16,0.38690540105049753,0.1689378172451201,0.24451240070266747,0.19964438100171483
2018-02-20,0.38701583696302905,0.16892183106102235,0.24442124301007773,0.19964108896587085
2018-02-21,0.3877175216030365,0.16860795074484825,0.24441075833083983,0.19926376932127554
2018-02-22,0.387783553570129,0.1685399062023126,0.24448485800443592,0.19919168222312256
2018-02-23,0.38790407054023474,0.16849414324097328,0.24442940506543642,0.19917238115335553
2018-02-26,0.3887035027068418,0.1684128913678903,0.24366776988262476,0.19921583604264323
2018-02-27,0.38882729002014343,0.1684814212971152,0.24340914050458773,0.19928214817815365
2018-02-28,0.3904127375697746,0.1691602411290289,0.24041421031556304,0.20001281098563337
2018-03-01,0.3906784617994779,0.1694052867510221,0.2397650985208412,0.20015115292865884
2018-03-02,0.39129887343639336,0.16919430114620473,0.2392159104720941,0.20029091494530782
2018-03-05,0.3922420954934921,0.16736421838358792,0.23970646734407985,0.2006872187788401
2018-03-06,0.39407660516403054,0.16526161028307185,0.23971455319190116,0.20094723136099651
2018-03-07,0.39415987662708574,0.16509561078495022,0.23975245197691142,0.2009920606110526
2018-03-08,0.3949413411223418,0.16492134962547866,0.23914271621626346,0.20099459303591607
2018-03-09,0.3950453020564667,0.16488618087548643,0.23914064566377885,0.20092787140426807
2018-03-12,0.40172806006480516,0.16312437416977407,0.23593576401886543,0.19921180174655545
2018-03-13,0.4011167215625184,0.16291988838848612,0.23553686564975518,0.20042652439924027
