,portfolio
2011-05-04,1221442.4178633094
2011-05-05,1206820.482678905
2011-05-06,1208531.0851392804
2011-05-09,1215979.7531768654
2011-05-10,1221938.8457411472
2011-05-11,1213962.6357270072
2011-05-12,1214621.0308132253
2011-05-13,1212487.0535979727
2011-05-16,1209236.1670993257
2011-05-17,1211580.2802494832
2011-05-18,1217453.9685736727
2011-05-19,1217861.3097732894
2011-05-20,1216880.1338363572
2011-05-23,1212283.5891835939
2011-05-24,1212808.306028425
2011-05-25,1216091.4947496436
2011-05-26,1220433.6574752082
2011-05-27,1222941.396863184
2011-05-31,1225955.9675828062
2011-06-01,1220034.001388868
2011-06-02,1218969.8807845665
2011-06-03,1220417.1023247766
2011-06-06,1215237.7914283355
2011-06-07,1217498.9374789938
2011-06-08,1216427.719768683
2011-06-09,1217121.8106452818
2011-06-10,1210679.6467324565
2011-06-13,1210202.8264299212
2011-06-14,1214849.9597380238
2011-06-15,1208972.5098897123
2011-06-16,1209352.5278135636
2011-06-17,1209855.722367311
2011-06-20,1210504.855743908
2011-06-21,1211406.3703779741
2011-06-22,1211669.1421882666
2011-06-23,1207573.128809729
2011-06-24,1206448.418062298
2011-06-27,1207472.0251260027
2011-06-28,1212166.618393487
2011-06-29,1215292.7583163988
2011-06-30,1214537.7089713556
2011-07-01,1216333.2298618988
2011-07-05,1218460.9136660255
2011-07-06,1219193.1261671728
2011-07-07,1222409.230112955
2011-07-08,1223395.7805781043
2011-07-11,1218561.180442219
2011-07-12,1219418.9197845524
2011-07-13,1219883.8620716443
2011-07-14,1216559.709417236
2011-07-15,1220445.1129845723
2011-07-18,1218394.1473406455
2011-07-19,1223828.9388923089
2011-07-20,1225274.585644957
2011-07-21,1225082.870382902
2011-07-22,1229088.5702862618
2011-07-25,1227523.4457250698
2011-07-26,1229790.1892228967
2011-07-27,1219667.1895450347
2011-07-28,1219059.2251650651
2011-07-29,1217659.9365913796
2011-08-01,1214501.7038819122
2011-08-02,1212437.081808312
2011-08-03,1212706.4439784521
2011-08-04,1200195.1680608836
2011-08-05,1197733.603437292
2011-08-08,1209788.1798750123
2011-08-09,1210968.1085454286
2011-08-10,1219791.0364201546
2011-08-11,1207966.8563386288
2011-08-12,1207598.4109665824
2011-08-15,1208498.8544826312
2011-08-16,1211717.0994773158
2011-08-17,1213605.7719019277
2011-08-18,1218223.7359135628
2011-08-19,1220412.2229537251
2011-08-22,1226809.2485839734
2011-08-23,1213571.071339091
2011-08-24,1203441.7258091897
2011-08-25,1204740.644551745
2011-08-26,1208387.0165027878
2011-08-29,1205458.2272811383
2011-08-30,1209579.814694926
2011-08-31,1207725.769601363
2011-09-01,1210651.3467919081
2011-09-02,1218840.963670138
2011-09-06,1220051.1580298995
2011-09-07,1212945.1821421767
2011-09-08,1217308.8959974565
2011-09-09,1219222.4406432922
2011-09-12,1217639.7603843678
2011-09-13,1215381.9805944192
2011-09-14,1216706.113060613
2011-09-15,1211973.3058073306
2011-09-16,1214457.8207102488
2011-09-19,1217475.8788606713
2011-09-20,1219721.2728308663
2011-09-21,1226307.1153487084
2011-09-22,1233042.0387781616
2011-09-23,1223958.721049262
2011-09-26,1218859.514854077
2011-09-27,1214518.384722284
2011-09-28,1214578.1695440095
2011-09-29,1215252.9161445803
2011-09-30,1217483.6578974074
2011-10-03,1219948.630376431
2011-10-04,1216456.9878016089
2011-10-05,1214928.3689075594
2011-10-06,1211167.745066264
2011-10-07,1209435.3246120214
2011-10-10,1208321.4327394362
2011-10-11,1208128.7530721163
2011-10-12,1206997.9537500318
2011-10-13,1207914.1617876869
2011-10-14,1206783.6251253209
2011-10-17,1208303.8780515995
2011-10-18,1207874.0795098506
2011-10-19,1207933.3552509148
2011-10-20,1207425.5572371518
2011-10-21,1206631.9073186712
2011-10-24,1206861.320594087
2011-10-25,1207843.5614918836
2011-10-26,1205460.7418677597
2011-10-27,1205583.3121040894
2011-10-28,1206390.4988133486
2011-10-31,1208494.9193635792
2011-11-01,1209403.5213759528
2011-11-02,1209403.5634703082
2011-11-03,1210138.9514597247
2011-11-04,1210221.1068278833
2011-11-07,1211934.308239808
2011-11-08,1211888.1897892707
2011-11-09,1211461.7319018785
2011-11-10,1211039.0062616745
2011-11-11,1212063.7187318027
2011-11-14,1212845.7093881608
2011-11-15,1213984.0278171636
2011-11-16,1215062.3611421282
2011-11-17,1213293.627025044
2011-11-18,1212911.523835095
2011-11-21,1213274.081221598
2011-11-22,1214597.0840230668
2011-11-23,1214847.3284727985
2011-11-25,1213638.0304369694
2011-11-28,1214415.1547767688
2011-11-29,1214520.7568543178
2011-11-30,1213484.0458948342
2011-12-01,1212958.644151332
2011-12-02,1214687.4448788948
2011-12-05,1214580.0069157977
2011-12-06,1213844.7225830492
2011-12-07,1214032.5644282296
2011-12-08,1214092.8905006577
2011-12-09,1213295.0195324607
2011-12-12,1213600.818769613
2011-12-13,1215590.6975674867
2011-12-14,1214677.1481312353
2011-12-15,1214428.7170602374
2011-12-16,1215651.1581852029
2011-12-19,1216954.3308441623
2011-12-20,1212975.1106865264
2011-12-21,1210242.4752232113
2011-12-22,1211183.7779919156
2011-12-23,1209041.111257598
2011-12-27,1210086.541945515
2011-12-28,1213886.0584299224
2011-12-29,1214355.0411712546
2011-12-30,1215109.405475713
2012-01-03,1212222.0387551636
2012-01-04,1210004.8699504663
2012-01-05,1209291.740188517
2012-01-06,1210976.511914195
2012-01-09,1210537.7082189939
2012-01-10,1210652.343869478
2012-01-11,1212722.049828945
2012-01-12,1211404.1143749363
2012-01-13,1213088.4968392071
2012-01-17,1214119.1790313227
2012-01-18,1211751.2028614634
2012-01-19,1209254.1360458375
2012-01-20,1206814.2744901022
2012-01-23,1205519.4948528537
2012-01-24,1205908.8380171915
2012-01-25,1208559.4080397757
2012-01-26,1207736.0972287254
2012-01-27,1208809.556035074
2012-01-30,1207844.0036843317
2012-01-31,1210017.3827581028
2012-02-01,1213804.345739459
2012-02-02,1215942.1334211738
2012-02-03,1220371.9455539016
2012-02-06,1220444.9896128653
2012-02-07,1220286.5823952856
2012-02-08,1221260.5188553673
2012-02-09,1221382.5153739566
2012-02-10,1219882.1061810127
2012-02-13,1222682.1646573534
2012-02-14,1221463.199111699
2012-02-15,1220498.2752331651
2012-02-16,1222741.8063750754
2012-02-17,1222757.828147977
2012-02-21,1222063.1460656098
2012-02-22,1221945.0470038063
2012-02-23,1223734.5557649778
2012-02-24,1225001.4430131437
2012-02-27,1224767.726767135
2012-02-28,1225534.3352315119
2012-02-29,1224128.545200092
2012-03-01,1226755.7558742957
2012-03-02,1221336.215394339
2012-03-05,1218976.8718674837
2012-03-06,1209637.5972171498
2012-03-07,1213969.29509501
2012-03-08,1220962.7851799335
2012-03-09,1223000.7246771608
2012-03-12,1223718.3181207557
2012-03-13,1229096.7738082428
2012-03-14,1226742.407797294
2012-03-15,1228149.2142994395
2012-03-16,1228978.5468146817
2012-03-19,1230549.1139261296
2012-03-20,1229685.0866458712
2012-03-21,1230018.8830226725
2012-03-22,1226080.9526278942
2012-03-23,1229966.7902557733
2012-03-26,1240415.7444056259
2012-03-27,1240605.2226720937
2012-03-28,1238494.7110177977
2012-03-29,1238166.3370511679
2012-03-30,1238090.1024435319
2012-04-02,1243654.6170630804
2012-04-03,1241023.0290887281
2012-04-04,1233900.869327844
2012-04-05,1233977.5314721365
2012-04-09,1229352.758387747
2012-04-10,1214984.2051025042
2012-04-11,1221513.1743421243
2012-04-12,1231452.6859033736
2012-04-13,1226724.6208471714
2012-04-16,1228246.2224490966
2012-04-17,1234014.2307455663
2012-04-18,1232070.5102718635
2012-04-19,1230138.9939509467
2012-04-20,1232462.1340209832
2012-04-23,1228431.4507713742
2012-04-24,1232098.9988230497
2012-04-25,1240421.0733984746
2012-04-26,1242144.6333109434
2012-04-27,1243766.0557147323
2012-04-30,1242688.9582146492
2012-05-01,1245871.685671174
2012-05-02,1245113.2883918115
2012-05-03,1243137.169055256
