,QQQ,VEU,STC,AlRajhi,BonyanREIT,AlinmaHospitalityREIT
2018-09-30,0.2452420671730242,0.33285237546211993,0.21704861078952867,0.20485694657532733,0.0,0.0
2018-10-31,0.2370391324648375,0.34455176849013597,0.21094927727345497,0.20745982177157163,0.0,0.0
2018-11-30,0.23074390747234305,0.3398097882947125,0.2151779203248103,0.21426838390813419,0.0,0.0
2018-12-31,0.21961448786267793,0.338669439102115,0.2226830848661235,0.21903298816908365,0.0,0.0
2019-01-31,0.21697966500011515,0.3324853679353861,0.2272198055935516,0.2233151614709472,0.0,0.0
2019-02-28,0.2116405559346707,0.3175351979809746,0.23018698223376446,0.24063726385059028,0.0,0.0
2019-03-31,0.16452421888806268,0.25665983900721395,0.19054153511687258,0.19304184304304237,0.19523256394480848,0.0
2019-04-30,0.16759157845647735,0.25850337614489227,0.19185678986603902,0.18302199767796795,0.19902625785462347,0.0
2019-05-31,0.17155803907123582,0.26241941280940656,0.17209706412260478,0.17965814123034696,0.21426734276640583,0.0
2019-06-30,0.1752319454095475,0.26888347972873755,0.16218016267717128,0.1790382257056717,0.21466618647887198,0.0
2019-07-31,0.1751423912228271,0.270446207108449,0.1626021870070506,0.17860958138745373,0.21319963327421956,0.0
2019-08-30,0.1713520468978985,0.2637844475363746,0.16252639616222447,0.18237984974168553,0.2199572596618169,0.0
2019-09-30,0.17359912311858391,0.2664398070612066,0.16077669919229562,0.1783696786263463,0.22081469200156745,0.0
2019-10-31,0.17428295387047205,0.2654276857444865,0.16102738762947177,0.1754543674260852,0.22380760532948446,0.0
2019-11-29,0.17652455650729704,0.26712636885854574,0.1617193965779393,0.17175594110075484,0.2228737369554631,0.0
2019-12-31,0.17787911202065104,0.26910696476605495,0.16040739215392244,0.17131965264293356,0.22128687841643802,0.0
2020-01-31,0.17939351084590419,0.2668170185017635,0.160010861896601,0.17233123234847675,0.2214473764072547,0.0
2020-02-28,0.17566979690490464,0.2592336320340769,0.1634502437894875,0.17380028961896415,0.22784603765256684,0.0
2020-03-31,0.15790807020694886,0.18737682209362405,0.19225711237370818,0.1797300693735433,0.28272792595217566,0.0
2020-04-30,0.15104047814948118,0.17946765902369782,0.1941828800888664,0.17739502924831976,0.2979139534896349,0.0
2020-05-31,0.15264790423044006,0.17876784081751673,0.1992104257025636,0.1734223186036936,0.29595151064578595,0.0
2020-06-30,0.15273114164843604,0.17232012534949892,0.206032473499412,0.17640502999426794,0.29251122950838515,0.0
2020-07-31,0.15628687417337359,0.174285199437151,0.2125038095705336,0.18007972999623423,0.27684438682270757,0.0
2020-08-31,0.15859222352008887,0.1733744060337369,0.21172751741475146,0.18121100336109247,0.2750948496703304,0.0
2020-09-30,0.15613779195073751,0.17329306747805945,0.21002440760226063,0.18289215010733276,0.27765258286160954,0.0
2020-10-30,0.15021589574437041,0.16815082218780963,0.20370509809487847,0.17694791865224763,0.3009802653206939,0.0
2020-11-30,0.14926369046183804,0.16708601673451762,0.20182476921712383,0.17995127965276236,0.30187424393375817,0.0
2020-12-31,0.14798999462028772,0.1643308093700943,0.20722845364778505,0.18019511057840215,0.3002556317834308,0.0
