,Actual_Return,Prediction,Position_Binary (t=0),Position_Binary (t=opt),Position_Scaled,Position_Adaptive,Equity_Binary (t=0),Equity_Binary (t=opt),Equity_Scaled,Equity_Adaptive,BnH_Equity
2021-12-03,3.8199,0.9122,1.0000,1.0000,1.0000,1.0000,5.1568,2.8381,2.8116,3.8515,5.2580
2021-12-10,-1.9659,0.1531,1.0000,0.0000,0.3062,0.0000,5.0554,2.8376,2.7943,3.8508,5.1546
2021-12-17,2.3333,0.2410,1.0000,0.0000,0.4819,0.0000,5.1733,2.8376,2.8256,3.8508,5.2749
2021-12-24,0.9265,0.3021,1.0000,1.0000,0.6041,1.0000,5.2213,2.8633,2.8414,3.8857,5.3238
2021-12-31,-1.8676,0.2307,1.0000,0.0000,0.4614,1.0000,5.1238,2.8627,2.8168,3.8131,5.2243
2022-01-07,-0.2939,0.3097,1.0000,1.0000,0.6194,1.0000,5.1087,2.8537,2.8116,3.8019,5.2090
2022-01-14,-5.7540,0.2464,1.0000,0.0000,0.4928,0.0000,4.8147,2.8532,2.7318,3.8011,4.9093
2022-01-21,0.9064,0.3529,1.0000,1.0000,0.7057,1.0000,4.8584,2.8784,2.7492,3.8348,4.9538
2022-01-28,1.5273,0.3126,1.0000,1.0000,0.6253,1.0000,4.9326,2.9224,2.7754,3.8934,5.0294
2022-02-04,-1.8364,0.2770,1.0000,0.0000,0.5540,1.0000,4.8420,2.9218,2.7471,3.8219,4.9371
2022-02-11,-1.4144,0.4781,1.0000,1.0000,0.9561,1.0000,4.7735,2.8799,2.7097,3.7678,4.8672
2022-02-18,0.8106,0.4419,1.0000,1.0000,0.8838,1.0000,4.8122,2.9033,2.7291,3.7984,4.9067
2022-02-25,-1.2747,0.5057,1.0000,1.0000,1.0000,1.0000,4.7509,2.8662,2.6942,3.7500,4.8441
2022-03-04,-2.7998,0.5805,1.0000,1.0000,1.0000,1.0000,4.6179,2.7860,2.6188,3.6450,4.7085
2022-03-11,6.1492,0.6312,1.0000,1.0000,1.0000,1.0000,4.9018,2.9573,2.7798,3.8691,4.9980
2022-03-18,1.8379,0.5057,1.0000,1.0000,1.0000,1.0000,4.9919,3.0117,2.8309,3.9402,5.0899
2022-03-25,0.0508,0.5445,1.0000,1.0000,1.0000,1.0000,4.9944,3.0132,2.8324,3.9422,5.0925
